label,brand,name,price,rank,ingredients,combination,dry,normal,oily,sensitive
moisturizer,sunday riley,luna sleeping night oil,3832.5,4.1,persea gratissima (extra virgin | cold pressed avocado) oil | vitis vinifera (organic | cold pressed concord grape) seed oil | rubus fruticosus (cold pressed blackberry) seed oil | salvia hispanica (cold pressed chia) oil | dimethyl isosorbide (and) hydroxypinacolone retinoate | chamomilla recutita (matricaria) flower oil | tanecetum annuum (blue tansy) oil | anthemis nobilis (english chamomile) oil | eriocephalus punctulatus (cape chamomile) oil | citrus aurantium amara (neroli) oil | citrus aurantium dulcis (blood orange) oil | cananga odorata flower (ylang ylang) oil | vetivera zizanoides (vetiver) oil | helianthus annuus (sunflower) seed oil (and) rosmarinus officinalis (rosemary) leaf extract | ci 61565 (green 6) | ci 60725 (violet 2),1,1,1,1,1
moisturizer,farmacy,honeymoon glow aha resurfacing night serum with echinacea greenenvy,2117.0,4.6,water | lactic acid | propanediol | jojoba esters | glycolic acid | potassium hydroxide | salix alba (willow) bark extract | carthamus tinctorius (safflower) oleosomes | vitis vinifera (grape) seed oil | hibiscus sabdariffa flower extract | citric acid | honey extract | echinacea purpurea root extract | propolis extract | royal jelly extract | hydrolyzed sodium hyaluronate | hydrolyzed hyaluronic acid | curcuma longa (turmeric) root extract | argania spinosa kernel oil | zingiber officinale (ginger) root extract | amaranthus caudatus seed oil | limnanthes alba (meadowfoam) seed oil | vaccinium myrtillus fruit/leaf extract | saccharum officinarum (sugarcane) extract | citrus aurantium dulcis (orange) fruit extract | citrus limon (lemon) fruit extract | acer saccharum (sugar maple) extract | melia azadirachta leaf extract | helianthus annuus (sunflower) seed oil | melia azadirachta flower extract | salvia hispanica seed oil | cetearyl alcohol | glycerin | arachidyl alcohol | sclerotium gum | coco-glucoside | polyacrylate crosspolymer-6 | behenyl alcohol | arachidyl glucoside | sodium benzoate | tocopherol | potassium sorbate | corallina officinalis extract | polyglyceryl-10 stearate | gluconolactone | 1 | 2-hexanediol | ocimum basilicum (basil) flower/leaf extract | ocimum sanctum leaf extract | t-butyl alcohol | glucose | calcium gluconate | citral,1,1,1,1,1
moisturizer,first aid beauty,ultra repair cream intense hydration,1095.0,4.6,water | stearic acid | glycerin | c12-15 alkyl benzoate | caprylic/capric triglyceride | glyceryl stearate se | glyceryl stearate | cetearyl alcohol | butyrospermum parkii butter | dimethicone | squalane | allantoin | camellia sinensis leaf extract | caprylyl glycol | ceramide 3 | chrysanthemum parthenium extract | colloidal oatmeal | disodium edta | eucalyptus globulus leaf oil | glycyrrhiza glabra root extract | sodium hydroxide | xanthan gum | phenoxyethanol,1,1,1,1,1
moisturizer,clinique,moisture surge 72-hour auto-replenishing hydrator,1423.5,4.4,water | dimethicone | butylene glycol | glycerin | trisiloxane | trehalose | sucrose | ammonium acryloyldimethyltaurate/vp copolymer | hydroxyethyl urea | camellia sinensis (green tea) leaf extract | silybum marianum (lady's thistle) extract | betula alba (birch) bark extract | saccharomyces lysate extract | aloe barbadensis leaf water | thermus thermophillus ferment | caffeine | sorbitol | palmitoyl hexapeptide-12 | sodium hyaluronate | caprylyl glycol | oleth-10 | sodium polyaspartate | saccharide isomerate | hydrogenated lecithin | tocopheryl acetate | acrylates/c10-30 alkyl acrylate crosspolymer | glyceryl polymethacrylate | tromethamine | peg-8 | hexylene glycol | magnesium ascorbyl phosphate | disodium edta | bht | phenoxyethanol | red 4 (ci 14700) | yellow 5 (ci 19140),1,1,1,1,1
moisturizer,skii,r.n.a. power face cream,8395.0,4.3,water | glycerin | galactomyces ferment filtrate | isohexadecane | niacinamide | isopropyl isostearate | butylene glycol | butyrospermum parkii (shea) butter | caprylic/capric triglyceride | pentylene glycol | dimethicone | phytosteryl/behenyl/octyldodecyl lauroyl glutamate | vinyl dimethicone/methicone silsesquioxane crosspolymer | stearyl alcohol | sodium acrylate/sodium acryloyldimethyl taurate copolymer | cetyl alcohol | behenyl alcohol | panthenol | tocopheryl acetate | benzyl alcohol | dimethiconol | cetearyl alcohol | cetearyl glucoside | methylparaben | peg-100 stearate | polymethylsilsesquioxane | polysorbate 80 | stearic acid | disodium edta | propylparaben | sodium peg-7 olive oil carboxylate | ethylparaben | sorbitan oleate | chlorella vulgaris extract | peg-7 glyceryl cocoate | sodium hydroxide | fragrance | acanthopanax senticosus (eleuthero) root extract | hydrolyzed soy protein | cynara scolymus (artichoke) leaf extract | polyquaternium-7 | hydrolyzed yeast protein | palmitoyl pentapeptide-4 | methylsilanol tri-peg-8 glyceryl cocoate | methicone | ci 77891 | ci 77492. pitera™,0,1,1,0,1
moisturizer,la mer,crème de la mer mini,3102.5,4.1,algae (seaweed) extract | mineral oil | petrolatum | glycerin | isohexadecane | microcrystalline wax | lanolin alcohol | citrus aurantifolia (lime) extract | sesamum indicum (sesame) seed oil | eucalyptus globulus (eucalyptus) leaf oil | sesamum indicum (sesame) seed powder | medicago sativa (alfalfa) seed powder | helianthus annuus (sunflower) seedcake | prunus amygdalus dulcis (sweet almond) seed meal | sodium gluconate | copper gluconate | calcium gluconate | magnesium gluconate | zinc gluconate | magnesium sulfate | paraffin | tocopheryl succinate | niacin | water | beta-carotene | decyl oleate | aluminum distearate | octyldodecanol | citric acid | cyanocobalamin | magnesium stearate | panthenol | limonene | geraniol | linalool | hydroxycitronellal | citronellol | benzyl salicylate | citral | sodium benzoate | alcohol denat | fragrance,1,1,1,1,1
moisturizer,fresh,black tea firming overnight mask,3358.0,4.1,water | glycerin | butylene glycol | jojoba esters | isohexadecane | ammonium acryloyldimethyltaurate/vp copolymer | dicaprylyl carbonate | camellia oleifera seed oil | pentylene glycol | ethylhexyl palmitate | mirabilis jalapa extract | glyceryl stearate | steareth-21 | caprylic/capric triglyceride | dimethicone | oxidized corn oil | butyrospermum parkii (shea butter) | cera alba (beeswax) | kigelia | africana fruit extract | saccharomyces ferment filtrate | camellia sinensis leaf extract | rubus fruticosus (blackberry) leaf extract | litichi chinensis seed extract | rosa damascena flower oil | sodium hyaluronate | adenosine | tocopheryl acetate | tocopherol | ceteareth-20 | behenyl alcohol | fragrance | ceteareth-12 | cetearyl alcohol | sodium citrate | sodium polyacrylate starch | sodium polyacrylate | sorbitan laurate | disodium edta | maltodextrin | silica | tetrasodium edta | hydroxyethylcellulose | acetyl dipeptide-1 cetyl ester | citric acid | ci 77891 (titanium dioxide) | bht | potassium sorbate | biotin | phenoxyethanol | linalool | citronellol | geraniol,1,1,1,0,0
moisturizer,belif,the true cream moisturizing bomb,1387.0,4.6,water | glycerin | cyclohexasiloxane | hydrogenated polydecene | dipropylene glycol | macadamia ternifolia seed oil | 1 | 2-hexanediol | bis-peg-18 methyl ether dimethyl silane | triethylhexanoin | stearyl alcohol | glyceryl stearate | pentaerythrityl tetraethylhexanoate | peg-40 stearate | saccharomyces/viscum album (mistletoe) ferment extract | lactobacillus/soybean ferment extract | saccharomyces/imperata cylindrica root ferment extract | cetearyl alcohol | ceteayl olivate | sorbitan olivate | hydrogenated lecithin | sorbitan stearate | stearic acid | peg-100 stearate | dimethicone | dimethicone/vinyl dimethicone crosspolymer | poncirus trifoliata fruit extract | panthenol | avena sativa (oat) kernel extract | calendula officinalis flower extract | nepeta cataria extract | rubus idaeus (raspberry) leaf extract | baptisia tinctoria root extract | stellaria media (chickweed) extract | alchemilla vulgaris leaf extract | viola tricolor extract | rosa damascena flower extract | spiraea ulmaria flower extract | althaea officinalis root extract | symphytum officinale leaf extract | trifolium pratense (clover) flower extract | achillea millefolium flower extract | euphrasia officinalis extract | thuja occidentalis leaf extract | menyanthes trifoliata leaf extract | salix alba (willow) bark extract | chelidonium majus extract | urea | hydroxyethylpiperazine ethane sulfonic acid | glycosyl trehalose | hydrogenated starch hydrolysate | acrylates/c10-30 alkyl acrylate crosspolymer | carbomer | xanthan gum | trisodium edta | tromethamine | frgrance | citronnellol | limonene. napiers original formula. napiers moisture formula. fragrances of natural origin,0,1,1,0,0
moisturizer,origins,dr. andrew weil for origins mega-mushroom relief & resilience soothing treatment lotion,1241.0,4.4,water | butylene glycol | peg-4 | citrus aurantium dulcis (orange) oil | lavandula angustifolia (lavender) oil | pogostemon cablin (patchouli) oil | citrus nobilis (mandarin orange) peel oil | pelargonium graveolens flower oil | boswellia carterii (olibanum) oil | limonene | linalool | citronellol | geraniol | ganoderma lucidum (reishi mushroom) extract | fuscoporia obliqua sclerotium extract | cordyceps sinensis (mushroom) extract | ergothioneine | camelina sativa seed oil | lactobacillus ferment | hippophae rhamnoides extract | zingiber officinale (ginger) root extract | curcuma longa (turmeric) root extract | ocimum sanctum (holy basil) leaf extract | helianthus annuus (sunflower) seed oil | silybum marianum fruit extract | saccharomyces lysate extract | centella asiatica (hydrocotyl) extract | hypnea musciformis (algae) extract | caffeine | sucrose | salvia sclarea (clary) extract | saccharomyces ferment filtrate | peg-40 hydrogenated castor oil | gellidiella acerosa extract | trideceth-9 | glycerin | glycereth-26 | polysorbate 20 | sodium hyaluronate | tocopheryl acetate | maltodextrin | pentylene glycol | sodium hydroxide | citric acid | potassium sorbate | phenoxyethanol,1,1,1,1,1
moisturizer,clinique,dramatically different moisturizing lotion+,1022.0,3.9,water | mineral oil/paraffinum liquidum/huile minerale | glycerin | petrolatum | stearic acid | glyceryl stearate | sesamum indicum (sesame) oil | urea | lanolin alcohol | triethanolamine | hordeum vulgare (barley) extract/extrait d'orge | cucumis sativus (cucumber) fruit extract | helianthus annuus (sunflower) seedcake | propylene glycol dicaprate | sodium hyaluronate | butylene glycol | pentylene glycol | trisodium edta | phenoxyethanol | yellow 6 (ci 15985) | yellow 5 (ci 19140) | red 33 (ci 17200),1,1,0,0,0
moisturizer,skii,genoptics aura essence serum,8760.0,4.1,water | galactomyces ferment filtrate (pitera) | niacinamide | butylene glycol | triethylhexanoin | pentylene glycol | glycerin | nylon-12 | phytosteryl/octyldodecyl lauroyl glutamate | polymethylsilsesquioxane | boron nitride | panthenol | peg-20 sorbitan cocoate | inositol | caprylic/capric triglyceride | mica | phenoxyethanol | acrylates/c10-30 alkyl acrylate crosspolymer | peg-11 methyl ether dimethicone | polyacrylamide | aminomethyl propanol | undecylenoyl phenylalanine | benzyl alcohol | c13-14 isoparaffin | disodium edta | hydrolyzed prunus domestica | xanthan gum | sodium benzoate | hexyldecanol | laureth-7 | citrus reticulata peel extract/citrus reticulata (tangerine) peel extract | methylparaben | ascorbyl glucoside | prunus mume fruit extract | tocopherol | fragrance | limonene | citronellol | linalool | geraniol | ci 77891 (titanium dioxide),1,1,1,1,1
moisturizer,tatcha,pure one step camellia cleansing oil,1752.0,4.5,cetyl ethylhexanoate | oryza sativa (rice) bran oil | polyglyceryl-10 dioleate | polyglyceryl-2 sesquicaprylate | camellia japonica seed oil | camellia sinensis (green tea) leaf extract | algae extract | water | glyceryl behenate/eicosadioate | glycerin | ethylhexylglycerin | fragrance (natural) | alcohol | phenoxyethanol,1,1,1,1,1
moisturizer,josie maran,100 percent pure argan oil,1752.0,4.5,organic argania spinosa (argan) kernel oil. organic. natural,0,1,0,1,1
moisturizer,it cosmetics,your skin but better cc+ cream oil-free matte with spf 40,1387.0,3.9,water | dimethicone | butylene glycol dicaprylate/dicaprate | butylene glycol | titanium dioxide [nano] / titanium dioxide | zinc oxide | cyclopentasiloxane | dimethicone/vinyl dimethicone crosspolymer | butyloctyl salicylate | cetyl peg/ppg-10/1 dimethicone | snail secretion filtrate | sodium chloride | bis-diglyceryl polyacyladipate-2 | aluminum hydroxide | stearic acid | disteardimonium hectorite | sorbitan isostearate | polyglyceryl-4 isostearate | hexyl laurate | triethoxycaprylylsilane | triethyl citrate | ethyl hexanediol | sodium benzoate | potassium sorbate | polymethylsilsesquioxane | tocopheryl acetate | phenoxyethanol | disodium edta | canadian colloidal clay | moroccan lava clay | avena sativa kernel extract / oat kernel extract | glycerin | niacinamide | curcuma longa root extract / turmeric root extract | sulfur | cholesterol | anthemis nobilis flower water | perfluorohexane | persea gratissima fruit extract / avocado fruit extract | maltodextrin | 1 | 2-hexanediol | vitis vinifera seed extract / grape seed extract | camellia sinensis leaf extract | salix alba bark extract / willow bark extract | magnolia kobus bark extract | chrysanthemum indicum flower extract | pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate | glycine soja sprout extract / soybean sprout extract | perfluorodecalin | serica extract / silk extract | hydrolyzed silk | aloe barbadensis leaf extract | perfluoromethylcyclopentane | citric acid | olea europaea (olive) leaf extract | artemisia princeps leaf extract | cinnamomum cassia bark extract | pueraria lobata root extract | diospyros kaki leaf extract | morus alba fruit extract | steareth-20 | melaleuca alternifolia flower/leaf/stem extract - tea tree flower/leaf/stem extract | punica granatum fruit juice | hydrolyzed collagen | ethylhexylglycerin | charcoal powder | lactobacillus/honeysuckle flower/licorice root/morus alba root/pueraria lobata root/schisandra chinensis fruit/scutellaria baicalensis root/sophora japonica flower extract ferment filtrate | chlorhexidine digluconate | n-hydroxysuccinimide | palmitoyl tripeptide-1 | hydrolyzed hyaluronic acid | chrysin | palmitoyl tetrapeptide-7 | [+/- may contain: ci 77491 | ci 77492 | ci 77499 / iron oxides | ci 77891 / titanium dioxide],1,1,1,1,0
moisturizer,laneige,water sleeping mask,912.5,4.4,water | butylene glycol | cyclopentasiloxane | glycerin | cyclohexasiloxane | trehalose | sodium hyaluronate | oenothera biennis (evening primrose) root extract | prunus armeniaca (apricot) fruit extract | beta-glucan | chenopodium quinoa seed extract | ascorbyl glucoside | magnesium sulfate | zinc sulfate | manganese sulfate | calcium chloride | potassium alginate | ammonium acryloyldimethyltaurate / vp copolymer | polysorbate 20 | dimethicone | dimethiconol | dimethicone / vinyl dimethicone crosspolymer | propanediol | ethylhexylglycerin | stearyl behenate | polyglyceryl-3 methylglucose distearate | hydroxypropyl bispalmitamide mea | inulin lauryl carbamate | alcohol | 1 | 2-hexanediol | caprylyl glycol | carbomer | tromethamine | disodium edta | phenoxyethanol | fragrance | blue 1 (ci 42090),1,1,1,1,1
moisturizer,laneige,water bank moisture cream,1277.5,4.4,water | glycerin | butylene glycol | squalane | dimethicone | pentaerythrityl tetraethylhexanoate | bis-peg-18 methyl ether dimethyl silane | dicaprylyl ether | cyclopentasiloxane | sucrose polystearate | cyclohexasiloxane | glyceryl stearate | urea | chenopodium quinoa seed extract | salicornia herbacea extract | magnesium sulfate | manganese sulfate | calcium chloride | zinc sulfate | sodium hyaluronate | limnanthes alba (meadowfoam) seed oil | copper tripeptide-1 | ceramide 3 | phytosphingosine | niacinamide | myristyl myristate | glyceryl undecylenate | acetyl glucosamine | cetearyl alcohol | cetyl ethylhexanoate | tocopherol | propanediol | stearic acid | ascorbyl glucoside | hydrogenated lecithin | xanthan gum | trisiloxane | palmitic acid | potassium cetyl phosphate | polyglyceryl-10 stearate | polyacrylate-13 | polyisobutene | propylene glycol | peg-100 stearate | acrylates / c10-30 alkyl acrylate crosspolymer | peg-5 rapeseed sterol | hydroxyethyl acrylate / sodium acryloyldimethyl taurate copolymer | hydrogenated polyisobutene | polysorbate 20 | tromethamine | disodium edta | glyceryl caprylate | ethylhexylglycerin | fragrance,0,1,1,0,1
moisturizer,skii,facial treatment essence mini,3613.5,4.1,galactomyces ferment filtrate (pitera) | butylene glycol | pentylene glycol | water | sodium benzoate | methylparaben | sorbic acid,1,1,1,1,1
moisturizer,tatcha,luminous dewy skin mist,1752.0,4.0,water | glycerin | squalane (olive origin) | cyclopentasiloxane | propanediol | triethylhexanoin | camellia japonica seed oil | inositol (rice extract) | algae extract | sericin (silk extract) | glycyrrhiza glabra (licorice) root extract | oryza sativa (rice) germ oil | camellia sinensis (green tea) leaf extract | chondrus crispus (red algae) extract | panax ginseng root extract | royal jelly extract | zizyphus jujuba fruit extract | thymus serpillum (thyme) extract | scutellaria baicalensis root extract | polyglyceryl-2 diisostearate | ppg-5-ceteth-10 phosphate | trideceth-12 | sodiumlauroyl lactylate | sorbitan stearate | ethylhexylglycerin | behenyl alcohol | glyceryl stearate se | fragrance | sodium hyaluronate | alcohol | phenoxyethanol,1,1,1,0,1
moisturizer,shiseido,benefiance wrinkleresist24 night cream,2299.5,4.4,water | cetyl ethylhexanoate | glycerin | butylene glycol | cetearyl alcohol | caprylic/capric triglyceride | nylon-12 | phytosteryl macadamiate | glyceryl stearate | sd alcohol 40-b (alcohol denat.) | isododecane | dimethicone | phenoxyethanol | beheneth-20 | fragrance (parfum) | peg/ppg-17/4 dimethyl ether | alcohol | carbomer | sodium citrate | trisodium edta | tocopheryl acetate | dipotassium glycyrrhizate | citric acid | potassium hydroxide | xanthan gum | butylphenyl methylpropional | sodium metaphosphate | limonene | linalool | citronellol | sapindus mukurossi peel extract (sapindus mukurossi) | alpha-isomethyl ionone | geraniol | benzyl benzoate | hexyl cinnamal | uncaria gambir extract (uncaria gambir) | sodium acetylated hyaluronate | hydroxyproline | iron oxides (ci 77491) | tocopherol | hypericum erectum extract | chlorella vulgaris extract,0,1,1,0,0
moisturizer,clinique,dramatically different moisturizing gel,1022.0,4.5,water | dimethicone | isododecane | butylene glycol | bis-peg-18 methyl ether dimethyl silane | glycerin | laminaria saccharina extract | polygonum cuspidatum root extract | saccharomyces lysate extract | cucumis sativus (cucumber) fruit extract | hordeum vulgare (barley) extract/extrait d'orge | helianthus annuus (sunflower) seedcake | caffeine | trehalose | sodium hyaluronate | tocopheryl acetate | chamomilla recutita (matricaria) | polysilicone-11 | silica | propylene glycol dicaprate | oleth-10 | lactobacillus ferment | laureth-23 | laureth-4 | ammonium acryloyldimethyltaurate/vp copolymer | carbomer | caprylyl glycol | hexylene glycol | tromethamine | disodium edta | phenoxyethanol | potassium sorbate | yellow 5 (ci 19140) | red 4 (ci 14700) | yellow 6 (ci 15985),1,0,0,1,0
